rep	K	seed	logfile	ml	cv	cv_se
8	10	80010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep8.10.log	-0.5457670295	0.3681453	0.0191244
9	1	90001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.1.log	-0.6717546703	0.5984286	0.0279122
9	2	90002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.2.log	-0.6027158431	0.4887299	0.0130937
9	3	90003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.3.log	-0.5671453962	0.4340266	0.010522
9	4	90004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.4.log	-0.5531116477	0.407945	0.0130435
9	5	90005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.5.log	-0.5337401911	0.3635493	0.0200194
9	6	90006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.6.log	-0.5354440397	0.357429	0.0252817
9	7	90007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.7.log	-0.5355972391	0.3618397	0.0184973
9	8	90008	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.8.log	-0.5343297196	0.3756219	0.0106
9	9	90009	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.9.log	-0.5466675843	0.3884807	0.0219077
9	10	90010	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep9.10.log	-0.5443751347	0.3671593	0.0133733
10	1	100001	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.1.log	-0.6717546703	0.5890938	0.0338051
10	2	100002	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.2.log	-0.6027159854	0.5062297	0.0276435
10	3	100003	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.3.log	-0.5672568468	0.4486645	0.035297
10	4	100004	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.4.log	-0.5433607127	0.3885613	0.0331821
10	5	100005	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.5.log	-0.5337396592	0.3738851	0.0269904
10	6	100006	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.6.log	-0.5450157407	0.4102064	0.0244659
10	7	100007	/Users/gspellman/Trowbridgii_analyses/Stacks analysis of ddRAD data/stacks_refmap_sorex_excl_MVZ216210_2026-02-26_clean/downstream_analysis_2026-02-23/faststructure_analysis_2026-02-27/work/runs/fs10_rep10.7.log	-0.5369285447	0.3625048	0.0182309
